data_num,trick_type,time,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.0,1.0,0.0,-4294.0,947.0,-2897.0,-0.19,-0.25,10.16,0.02,-0.11,-0.03
1.0,1.0,10.0,-4315.0,981.0,-2880.0,-0.18,-0.24,10.17,0.02,-0.11,-0.03
1.0,1.0,20.0,-4306.0,948.0,-2866.0,-0.19,-0.23,10.15,0.01,-0.11,-0.03
1.0,1.0,30.0,-4311.0,943.0,-2880.0,-0.19,-0.24,10.13,0.01,-0.11,-0.03
1.0,1.0,40.0,-4296.0,941.0,-2909.0,-0.2,-0.22,10.13,0.03,-0.11,-0.03
1.0,1.0,50.0,-4301.0,930.0,-2882.0,-0.19,-0.19,10.11,0.04,-0.11,-0.03
1.0,1.0,60.0,-4284.0,928.0,-2874.0,-0.19,-0.18,10.19,0.05,-0.11,-0.03
1.0,1.0,70.0,-4279.0,968.0,-2900.0,-0.18,-0.19,10.27,0.04,-0.11,-0.03
1.0,1.0,80.0,-4279.0,931.0,-2841.0,-0.2,-0.25,10.1,0.04,-0.11,-0.03
1.0,1.0,90.0,-4292.0,930.0,-2894.0,-0.19,-0.21,10.14,0.04,-0.11,-0.03
1.0,1.0,100.0,-4295.0,934.0,-2842.0,-0.19,-0.2,10.15,0.05,-0.11,-0.03
1.0,1.0,110.0,-4275.0,942.0,-2900.0,-0.19,-0.18,10.13,0.07,-0.11,-0.03
1.0,1.0,120.0,-4273.0,940.0,-2867.0,-0.17,-0.2,10.14,0.08,-0.11,-0.03
1.0,1.0,130.0,-4274.0,953.0,-2883.0,-0.18,-0.22,10.15,0.08,-0.11,-0.02
1.0,1.0,140.0,-4284.0,933.0,-2857.0,-0.16,-0.25,10.15,0.08,-0.11,-0.01
1.0,1.0,150.0,-4290.0,965.0,-2888.0,-0.16,-0.28,10.18,0.06,-0.11,-0.0
1.0,1.0,160.0,-4297.0,959.0,-2891.0,-0.34,-0.24,10.14,0.07,-0.11,-0.02
1.0,1.0,170.0,-4277.0,941.0,-2881.0,-0.19,-0.25,10.14,0.06,-0.11,-0.03
1.0,1.0,180.0,-4296.0,922.0,-2901.0,-0.19,-0.24,10.14,0.06,-0.11,-0.03
1.0,1.0,190.0,-4286.0,952.0,-2868.0,-0.19,-0.24,10.14,0.06,-0.11,-0.03
1.0,1.0,200.0,-4300.0,953.0,-2834.0,-0.18,-0.26,10.16,0.05,-0.11,-0.03
1.0,1.0,210.0,-4284.0,945.0,-2838.0,-0.19,-0.24,10.15,0.05,-0.11,-0.03
1.0,1.0,220.0,-4287.0,938.0,-2856.0,-0.18,-0.22,10.13,0.06,-0.11,-0.03
1.0,1.0,230.0,-4302.0,942.0,-2826.0,-0.18,-0.25,10.15,0.07,-0.11,-0.03
1.0,1.0,240.0,-4290.0,919.0,-2865.0,-0.19,-0.22,10.14,0.07,-0.11,-0.03
1.0,1.0,250.0,-4302.0,934.0,-2879.0,-0.19,-0.24,10.12,0.09,-0.11,-0.03
1.0,1.0,260.0,-4291.0,940.0,-2857.0,-0.19,-0.21,10.13,0.11,-0.1,-0.03
1.0,1.0,270.0,-4297.0,926.0,-2919.0,-0.19,-0.3,10.16,0.11,-0.11,-0.03
1.0,1.0,280.0,-4274.0,900.0,-2860.0,-0.19,-0.28,10.13,0.1,-0.11,-0.03
