data_num,trick_type,time,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.0,0.0,5859.0,-4309.0,3399.0,-9292.0,-4.01,6.22,7.07,-0.36,0.17,0.44
1.0,0.0,19531.0,-4235.0,3405.0,-9141.0,-3.92,6.01,7.89,-0.19,0.08,0.73
1.0,0.0,33203.0,-4141.0,3302.0,-8974.0,-3.58,8.02,10.24,0.25,0.15,1.55
1.0,0.0,46875.0,-4043.0,3008.0,-8595.0,-2.85,9.88,12.52,1.39,0.38,2.23
1.0,0.0,61523.0,-3803.0,2562.0,-8291.0,-3.02,19.57,15.32,2.41,0.51,3.21
1.0,0.0,75195.0,-3631.0,1972.0,-7936.0,-1.47,26.93,15.28,3.91,0.99,4.59
1.0,0.0,88867.0,-3518.0,1292.0,-7500.0,1.73,34.25,14.0,4.1,1.37,3.92
1.0,0.0,102539.0,-3441.0,568.0,-7000.0,6.28,39.17,13.21,3.25,0.86,-0.83
1.0,0.0,116211.0,-3428.0,-60.0,-6340.0,7.25,39.17,13.29,3.03,0.09,-3.44
1.0,0.0,129882.0,-3150.0,-711.0,-5238.0,9.41,33.71,13.04,3.51,0.62,-6.82
1.0,0.0,143554.0,-2875.0,-894.0,-4637.0,8.49,27.12,13.11,4.47,0.78,-7.27
1.0,0.0,157226.0,-2631.0,-998.0,-4035.0,7.52,14.3,14.48,6.75,0.73,-7.71
1.0,0.0,170898.0,-2309.0,-974.0,-3614.0,8.76,8.89,15.98,7.13,0.69,-8.21
1.0,0.0,184570.0,-2002.0,-884.0,-3279.0,7.75,0.25,14.76,6.58,1.08,-8.54
1.0,0.0,198242.0,-1695.0,-754.0,-3035.0,14.15,-37.48,2.41,5.25,0.46,-9.44
1.0,0.0,211914.0,-1411.0,-683.0,-2908.0,3.28,-39.2,-8.05,4.51,-0.88,-6.54
1.0,0.0,225586.0,-1150.0,-737.0,-2980.0,-10.81,-39.2,-3.83,1.08,-2.88,3.94
1.0,0.0,239257.0,-1456.0,-831.0,-3139.0,-3.48,-39.2,11.95,-0.82,-2.86,7.78
1.0,0.0,252929.0,-1733.0,-896.0,-3403.0,13.05,-33.59,26.84,-6.72,2.07,8.63
1.0,0.0,266601.0,-1951.0,-839.0,-3812.0,19.04,-13.19,29.72,-9.37,3.51,8.05
1.0,0.0,280273.0,-2041.0,-595.0,-4296.0,28.0,35.41,15.2,-11.68,4.68,6.89
1.0,0.0,293945.0,-2244.0,-366.0,-4580.0,26.69,39.17,18.39,-5.0,0.1,8.78
1.0,0.0,307617.0,-2932.0,-200.0,-3774.0,16.52,39.17,26.31,2.3,-0.71,10.85
1.0,0.0,321289.0,-3447.0,-350.0,-3461.0,23.52,39.17,-2.41,7.9,0.61,7.13
1.0,0.0,334961.0,-3500.0,-608.0,-3160.0,26.33,39.17,-14.74,8.1,0.27,2.63
1.0,0.0,348632.0,-3367.0,-762.0,-2945.0,32.13,39.17,-22.27,3.42,-1.88,-7.03
1.0,0.0,362304.0,-3114.0,-870.0,-2756.0,31.49,36.31,-13.97,1.62,-3.75,-10.24
1.0,0.0,375976.0,-2783.0,-767.0,-2651.0,7.93,-25.47,34.15,-0.43,-5.4,-15.16
1.0,0.0,389648.0,-2387.0,-586.0,-2769.0,0.17,-39.2,28.17,-4.81,-2.95,-15.97
1.0,0.0,403320.0,-1496.0,-684.0,-3275.0,1.38,-39.2,-0.37,-2.71,-0.4,-11.28
1.0,0.0,416992.0,-1501.0,-849.0,-3233.0,-12.79,-39.2,-2.86,7.76,-1.07,6.22
1.0,0.0,430664.0,-1801.0,-843.0,-3372.0,-6.9,-39.14,7.77,3.53,-0.87,8.54
1.0,0.0,444336.0,-2004.0,-838.0,-3667.0,5.67,-25.06,12.42,-7.18,1.35,6.69
1.0,0.0,458007.0,-2220.0,-688.0,-4037.0,11.23,-1.72,12.8,-8.43,1.25,6.55
1.0,0.0,471679.0,-2469.0,-493.0,-4312.0,13.94,39.17,19.15,-4.26,0.12,8.36
1.0,0.0,485351.0,-2782.0,-330.0,-4412.0,11.54,39.17,19.34,-1.29,-0.11,7.59
1.0,0.0,499023.0,-3780.0,-37.0,-4106.0,12.23,39.17,13.62,0.89,0.22,5.48
1.0,0.0,512695.0,-3832.0,-156.0,-3988.0,17.47,39.17,-4.2,3.52,0.41,0.0
1.0,0.0,526367.0,-3750.0,-365.0,-3697.0,17.16,39.17,-4.83,4.43,-0.14,-2.64
