data_num,trick_type,time,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.0,1.0,33323242.0,-4598.0,1509.0,-3140.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33309570.0,-4592.0,1535.0,-3202.0,-0.21,-3.48,9.6,0.05,-0.11,-0.03
1.0,1.0,33295898.0,-4594.0,1539.0,-3147.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33282226.0,-4591.0,1544.0,-3156.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33268554.0,-4592.0,1505.0,-3178.0,-0.2,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33254882.0,-4609.0,1524.0,-3177.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33241210.0,-4579.0,1514.0,-3198.0,-0.2,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33227539.0,-4583.0,1503.0,-3207.0,-0.21,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,33213867.0,-4593.0,1516.0,-3151.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33200195.0,-4605.0,1540.0,-3170.0,-0.2,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33186523.0,-4644.0,1525.0,-3177.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33172851.0,-4616.0,1510.0,-3128.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33159179.0,-4630.0,1532.0,-3163.0,-0.21,-3.47,9.61,0.05,-0.11,-0.03
1.0,1.0,33145507.0,-4600.0,1543.0,-3145.0,-0.21,-3.46,9.61,0.05,-0.11,-0.03
1.0,1.0,33131835.0,-4587.0,1533.0,-3122.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33118164.0,-4606.0,1511.0,-3175.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33104492.0,-4647.0,1533.0,-3133.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33090820.0,-4622.0,1512.0,-3141.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33076171.0,-4604.0,1508.0,-3126.0,-0.22,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,33062500.0,-4613.0,1519.0,-3152.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33047851.0,-4591.0,1545.0,-3117.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33034179.0,-4589.0,1549.0,-3120.0,-0.21,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,33020507.0,-4599.0,1540.0,-3158.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33006835.0,-4585.0,1519.0,-3134.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32993164.0,-4610.0,1498.0,-3123.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,32979492.0,-4625.0,1557.0,-3137.0,-0.21,-3.46,9.61,0.05,-0.11,-0.03
1.0,1.0,32965820.0,-4585.0,1514.0,-3165.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,32952148.0,-4633.0,1516.0,-3111.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32938476.0,-4632.0,1514.0,-3148.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32924804.0,-4608.0,1501.0,-3151.0,-0.21,-3.45,9.6,0.05,-0.11,-0.03
1.0,1.0,32911132.0,-4616.0,1520.0,-3109.0,-0.22,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,32897460.0,-4622.0,1547.0,-3129.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32883789.0,-4633.0,1543.0,-3121.0,-0.2,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32870117.0,-4628.0,1527.0,-3138.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,32856445.0,-4627.0,1542.0,-3167.0,-0.22,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,32842773.0,-4612.0,1524.0,-3167.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32829101.0,-4609.0,1282.0,-3166.0,-0.21,-3.46,9.61,0.05,-0.11,-0.03
1.0,1.0,32815429.0,-4601.0,1547.0,-3152.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32801757.0,-4633.0,1547.0,-3182.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32788085.0,-4604.0,1574.0,-3180.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32774414.0,-4606.0,1514.0,-3201.0,-0.21,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,32760742.0,-4655.0,1505.0,-3153.0,-0.2,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,32747070.0,-4634.0,1538.0,-3079.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32733398.0,-4621.0,1539.0,-3134.0,-0.21,-3.47,9.61,0.05,-0.11,-0.03
1.0,1.0,32718750.0,-4586.0,1543.0,-3165.0,-0.21,-3.45,9.6,0.05,-0.11,-0.03
1.0,1.0,32705078.0,-4627.0,1564.0,-3155.0,-0.22,-3.45,9.6,0.05,-0.11,-0.03
1.0,1.0,32691406.0,-4613.0,1554.0,-3172.0,-0.21,-3.46,9.61,0.05,-0.11,-0.03
1.0,1.0,32677734.0,-4633.0,1542.0,-3192.0,-0.2,-3.46,9.61,0.05,-0.11,-0.03
1.0,1.0,32664062.0,-4606.0,1520.0,-3167.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32650390.0,-4615.0,1535.0,-3207.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32636718.0,-4617.0,1537.0,-3185.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,32623046.0,-4605.0,1518.0,-3134.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,32609375.0,-4603.0,1541.0,-3114.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32595703.0,-4618.0,1523.0,-3153.0,-0.21,-3.45,9.59,0.05,-0.11,-0.03
1.0,1.0,32582031.0,-4606.0,1527.0,-3116.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32568359.0,-4629.0,1497.0,-3142.0,-0.21,-3.47,9.61,0.05,-0.11,-0.03
1.0,1.0,32554687.0,-4609.0,1528.0,-3169.0,-0.21,-3.47,9.61,0.05,-0.11,-0.03
1.0,1.0,32541015.0,-4587.0,1533.0,-3140.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32527343.0,-4586.0,1505.0,-3131.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,32513671.0,-4595.0,1509.0,-3160.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32500000.0,-4597.0,1534.0,-3160.0,-0.21,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,32486328.0,-4617.0,1519.0,-3102.0,-0.2,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32472656.0,-4620.0,1510.0,-3114.0,-0.21,-3.47,9.61,0.05,-0.11,-0.03
1.0,1.0,32458984.0,-4649.0,1493.0,-3117.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32445312.0,-4605.0,1485.0,-3091.0,-0.22,-3.46,9.61,0.05,-0.11,-0.03
1.0,1.0,32431640.0,-4611.0,1540.0,-3160.0,-0.22,-3.45,9.6,0.05,-0.11,-0.03
1.0,1.0,32417968.0,-4590.0,1525.0,-3154.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,32404296.0,-4585.0,1532.0,-3123.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,32390625.0,-4592.0,1478.0,-3125.0,-0.22,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,32376953.0,-4624.0,1516.0,-3131.0,-0.21,-3.46,9.62,0.05,-0.11,-0.03
1.0,1.0,32363281.0,-4601.0,1501.0,-3145.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32349609.0,-4595.0,1533.0,-3125.0,-0.21,-3.48,9.6,0.05,-0.11,-0.03
1.0,1.0,32335937.0,-4592.0,1525.0,-3130.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32322265.0,-4628.0,1488.0,-3095.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32308593.0,-4597.0,1526.0,-3112.0,-0.2,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32294921.0,-4604.0,1519.0,-3118.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32281250.0,-4584.0,1502.0,-3126.0,-0.21,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,32267578.0,-4592.0,1486.0,-3133.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32253906.0,-4599.0,1530.0,-3101.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32240234.0,-4590.0,1506.0,-3113.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32226562.0,-4596.0,1520.0,-3131.0,-0.2,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,32212890.0,-4623.0,1508.0,-3129.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,32199218.0,-4618.0,1519.0,-3091.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32185546.0,-4589.0,1510.0,-3121.0,-0.2,-3.45,9.59,0.05,-0.11,-0.03
1.0,1.0,32171875.0,-4618.0,1485.0,-3098.0,-0.2,-3.45,9.6,0.05,-0.11,-0.03
1.0,1.0,32158203.0,-4632.0,1529.0,-3172.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32144531.0,-4624.0,1520.0,-3114.0,-0.21,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,32130859.0,-4608.0,1530.0,-3111.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,32117187.0,-4636.0,1503.0,-3137.0,-0.21,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,32103515.0,-4596.0,1516.0,-3109.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32089843.0,-4603.0,1492.0,-3097.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,32076171.0,-4625.0,1496.0,-3165.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,32062500.0,-4606.0,1504.0,-3115.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32048828.0,-4599.0,1516.0,-3170.0,-0.2,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,32035156.0,-4611.0,1498.0,-3138.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,32021484.0,-4596.0,1525.0,-3124.0,-0.2,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,32007812.0,-4560.0,1496.0,-3101.0,-0.2,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31994140.0,-4603.0,1524.0,-3137.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31980468.0,-4601.0,1518.0,-3099.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31966796.0,-4620.0,1495.0,-3096.0,-0.21,-3.47,9.61,0.05,-0.11,-0.03
1.0,1.0,31953125.0,-4590.0,1508.0,-3120.0,-0.22,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,31939453.0,-4594.0,1498.0,-3117.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31925781.0,-4615.0,1511.0,-3090.0,-0.2,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31912109.0,-4596.0,1519.0,-3138.0,-0.2,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31898437.0,-4640.0,1530.0,-3163.0,-0.2,-3.45,9.59,0.05,-0.11,-0.03
1.0,1.0,31884765.0,-4617.0,1488.0,-3121.0,-0.2,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31871093.0,-4617.0,1500.0,-3158.0,-0.2,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,31857421.0,-4618.0,1505.0,-3081.0,-0.21,-3.47,9.61,0.05,-0.11,-0.03
1.0,1.0,31843750.0,-4630.0,1510.0,-3110.0,-0.22,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,31830078.0,-4618.0,1475.0,-3094.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31816406.0,-4623.0,1510.0,-3108.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31802734.0,-4605.0,1506.0,-3134.0,-0.22,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,31789062.0,-4601.0,1523.0,-3139.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31775390.0,-4621.0,1497.0,-3118.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31761718.0,-4600.0,1512.0,-3126.0,-0.2,-3.45,9.6,0.05,-0.11,-0.03
1.0,1.0,31748046.0,-4615.0,1483.0,-3105.0,-0.2,-3.45,9.6,0.05,-0.11,-0.03
1.0,1.0,31734375.0,-4593.0,1484.0,-3156.0,-0.2,-3.45,9.6,0.05,-0.11,-0.03
1.0,1.0,31720703.0,-4603.0,1524.0,-3168.0,-0.2,-3.46,9.61,0.05,-0.11,-0.03
1.0,1.0,31707031.0,-4585.0,1498.0,-3135.0,-0.2,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31693359.0,-4581.0,1513.0,-3121.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31679687.0,-4612.0,1489.0,-3153.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31666015.0,-4614.0,1508.0,-3149.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31652343.0,-4618.0,1485.0,-3212.0,-0.23,-3.48,9.61,0.05,-0.11,-0.03
1.0,1.0,31638671.0,-4621.0,1503.0,-3169.0,-0.21,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,31625000.0,-4615.0,1514.0,-3130.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31611328.0,-4583.0,1519.0,-3182.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31597656.0,-4607.0,1506.0,-3136.0,-0.22,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,31583984.0,-4628.0,1501.0,-3135.0,-0.22,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,31570312.0,-4618.0,1527.0,-3117.0,-0.21,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,31556640.0,-4610.0,1533.0,-3130.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31542968.0,-4621.0,1531.0,-3136.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31529296.0,-4615.0,1536.0,-3095.0,-0.21,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,31515625.0,-4631.0,1516.0,-3099.0,-0.2,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31501953.0,-4601.0,1523.0,-3155.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31488281.0,-4610.0,1524.0,-3153.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31474609.0,-4606.0,1499.0,-3154.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31460937.0,-4591.0,1519.0,-3184.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31447265.0,-4604.0,1532.0,-3150.0,-0.22,-3.45,9.59,0.05,-0.11,-0.03
1.0,1.0,31433593.0,-4590.0,1526.0,-3126.0,-0.21,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,31419921.0,-4582.0,1523.0,-3109.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31406250.0,-4581.0,1508.0,-3140.0,-0.22,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,31392578.0,-4597.0,1504.0,-3134.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31378906.0,-4606.0,1502.0,-3145.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31365234.0,-4610.0,1483.0,-3089.0,-0.21,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,31351562.0,-4609.0,1509.0,-3151.0,-0.21,-3.45,9.6,0.05,-0.11,-0.03
1.0,1.0,31337890.0,-4622.0,1495.0,-3145.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31324218.0,-4611.0,1522.0,-3114.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31310546.0,-4587.0,1523.0,-3145.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31296875.0,-4609.0,1545.0,-3108.0,-0.22,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,31283203.0,-4602.0,1513.0,-3132.0,-0.21,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,31269531.0,-4616.0,1502.0,-3116.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31255859.0,-4601.0,1523.0,-3119.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,31242187.0,-4602.0,1525.0,-3136.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,31228515.0,-4577.0,1497.0,-3160.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
2.0,1.0,3826610829.0,-3032.0,467.0,2068.0,-0.17,-3.41,9.61,0.05,-0.11,-0.03
2.0,1.0,3826597157.0,-3003.0,433.0,2026.0,-0.17,-3.41,9.61,0.05,-0.11,-0.02
2.0,1.0,3826583485.0,-3015.0,446.0,2047.0,-0.18,-3.42,9.61,0.05,-0.1,-0.03
2.0,1.0,3826569813.0,-3022.0,436.0,2018.0,-0.18,-3.43,9.61,0.05,-0.11,-0.03
2.0,1.0,3826556142.0,-3018.0,487.0,2065.0,-0.18,-3.43,9.61,0.05,-0.11,-0.03
2.0,1.0,3826542470.0,-3012.0,467.0,2073.0,-0.18,-3.42,9.59,0.05,-0.11,-0.03
2.0,1.0,3826528798.0,-3043.0,487.0,2035.0,-0.18,-3.43,9.63,0.05,-0.11,-0.03
2.0,1.0,3826515126.0,-3013.0,450.0,1996.0,-0.17,-3.41,9.6,0.05,-0.11,-0.03
2.0,1.0,3826501454.0,-3013.0,430.0,2000.0,-0.16,-3.41,9.61,0.05,-0.11,-0.03
2.0,1.0,3826487782.0,-3017.0,474.0,2007.0,-0.16,-3.4,9.62,0.05,-0.11,-0.03
2.0,1.0,3826474110.0,-3000.0,479.0,2032.0,-0.15,-3.41,9.6,0.05,-0.11,-0.02
2.0,1.0,3826460438.0,-2994.0,472.0,1998.0,-0.16,-3.4,9.62,0.05,-0.11,-0.03
2.0,1.0,3826446767.0,-3010.0,482.0,2037.0,-0.16,-3.41,9.61,0.05,-0.1,-0.03
2.0,1.0,3826433095.0,-3001.0,450.0,2016.0,-0.17,-3.41,9.61,0.05,-0.11,-0.03
2.0,1.0,3826419423.0,-2992.0,452.0,2034.0,-0.19,-3.42,9.61,0.05,-0.1,-0.03
2.0,1.0,3826405751.0,-2980.0,473.0,2010.0,-0.19,-3.43,9.6,0.05,-0.11,-0.03
